# E_eV,sigma_cm2
# H electron impact ionization cross section
# E_eV: beam energy [eV]  sigma_cm2: cross section [cm^2]
5.877290482442919739e+01,6.920388320848942556e-17
5.902620597904611799e+01,6.903281644311930797e-17
5.928059881826025190e+01,6.886222694564178373e-17
5.953608804704525426e+01,6.869212998576377141e-17
5.979267839065241219e+01,6.852254036141301308e-17
6.005037459469804162e+01,6.835347240533020280e-17
6.030918142525123926e+01,6.818493999246341131e-17
6.056910366892209652e+01,6.801695654929255750e-17
6.083014613295005546e+01,6.784953505971683757e-17
6.109231364529305353e+01,6.768268807372609366e-17
6.135561105471664689e+01,6.751642771352977004e-17
6.162004323088375912e+01,6.735076568304707005e-17
6.188561506444472116e+01,6.718571327277241595e-17
6.215233146712771628e+01,6.702128136892603821e-17
6.242019737182966566e+01,6.685748045987726310e-17
6.268921773270739806e+01,6.669432064316326704e-17
6.295939752526932409e+01,6.653181163242294206e-17
6.323074174646745149e+01,6.636996276539977873e-17
6.350325541478978408e+01,6.620878300906670109e-17
6.377694357035314709e+01,6.604828096769602739e-17
6.405181127499642457e+01,6.588846489010208834e-17
6.432786361237414496e+01,6.572934267392491439e-17
6.460510568805050013e+01,6.557092187485471913e-17
6.488354262959383334e+01,6.541320971163449765e-17
6.516317958667139010e+01,6.525621307289021847e-17
6.544402173114461618e+01,6.509993852315023901e-17
6.572607425716479668e+01,6.494439231002317562e-17
6.600934238126910714e+01,6.478958036843562737e-17
6.629383134247711951e+01,6.463550832928206054e-17
6.657954640238766331e+01,6.448218152324724646e-17
6.686649284527618420e+01,6.432960498808182703e-17
6.715467597819242940e+01,6.417778347319675154e-17
6.744410113105864468e+01,6.402672144732698648e-17
6.773477365676808404e+01,6.387642310219149726e-17
6.802669893128410195e+01,6.372689235903042763e-17
6.831988235373950147e+01,6.357813287418524289e-17
6.861432934653645077e+01,6.343014804451964644e-17
6.891004535544671228e+01,6.328294101275232879e-17
6.920703584971242606e+01,6.313651467189741631e-17
6.950530632214723425e+01,6.299087167196567201e-17
6.980486228923778924e+01,6.284601442417091152e-17
7.010570929124592965e+01,6.270194510583246537e-17
7.040785289231104116e+01,6.255866566623917657e-17
7.071129868055304257e+01,6.241617782966988742e-17
7.101605226817562766e+01,6.227448310322981111e-17
7.132211929157018915e+01,6.213358277816863207e-17
7.162950541141994165e+01,6.199347793724770257e-17
7.193821631280472673e+01,6.185416945747984297e-17
7.224825770530607372e+01,6.171565801579243853e-17
7.255963532311284325e+01,6.157794409328201284e-17
7.287235492512731128e+01,6.144102797873331161e-17
7.318642229507149466e+01,6.130490977390012250e-17
7.350184324159441474e+01,6.116958939745637124e-17
7.381862359837931820e+01,6.103506658843116710e-17
7.413676922425162275e+01,6.090134091184262567e-17
7.445628600328728908e+01,6.076841176085022650e-17
7.477717984492161918e+01,6.063627836178025148e-17
7.509945668405859465e+01,6.050493977773256788e-17
7.542312248118061291e+01,6.037439491287752900e-17
7.574818322245872082e+01,6.024464251497094905e-17
7.607464491986333144e+01,6.011568118010538773e-17
7.640251361127543817e+01,5.998750935627156136e-17
7.673179536059824102e+01,5.986012534630980437e-17
7.706249625786935553e+01,5.973352731121044144e-17
7.739462241937340536e+01,5.960771327466089268e-17
7.772817998775514070e+01,5.948268112543627965e-17
7.806317513213308246e+01,5.935842862091981575e-17
7.839961404821355018e+01,5.923495339000594992e-17
7.873750295840537206e+01,5.911225293734003795e-17
7.907684811193480812e+01,5.899032464537005880e-17
7.941765578496128342e+01,5.886916577726045718e-17
7.975993228069334862e+01,5.874877348085499868e-17
8.010368392950532268e+01,5.862914479122725566e-17
8.044891708905436190e+01,5.851027663311386105e-17
8.079563814439801206e+01,5.839216582387399400e-17
8.114385350811235753e+01,5.827480907705808797e-17
8.149356962041053976e+01,5.815820300400894725e-17
8.184479294926197213e+01,5.804234411699244002e-17
8.219752999051186748e+01,5.792722883251670461e-17
8.255178726800143352e+01,5.781285347263823194e-17
8.290757133368850873e+01,5.769921426811008618e-17
8.326488876776876680e+01,5.758630736129971631e-17
8.362374617879741834e+01,5.747412880778818675e-17
8.398415020381128215e+01,5.736267457912336352e-17
8.434610750845183702e+01,5.725194056507995144e-17
8.470962478708825927e+01,5.714192257639282324e-17
8.507470876294131301e+01,5.703261634597031221e-17
8.544136618820768092e+01,5.692401753259971383e-17
8.580960384418490605e+01,5.681612172137311036e-17
8.617942854139670317e+01,5.670892442696384299e-17
8.655084711971902323e+01,5.660242109556188348e-17
8.692386644850647315e+01,5.649660710631659913e-17
8.729849342671943191e+01,5.639147777465740108e-17
8.767473498305163560e+01,5.628702835195109526e-17
8.805259807605820299e+01,5.618325403013668667e-17
8.843208969428454225e+01,5.608014994124447004e-17
8.881321685639545649e+01,5.597771116088601217e-17
8.919598661130498840e+01,5.587593270905968979e-17
8.958040603830679061e+01,5.577480955252195615e-17
8.996648224720507869e+01,5.567433660630522034e-17
9.035422237844609583e+01,5.557450873507945822e-17
9.074363360325017425e+01,5.547532075523302404e-17
9.113472312374437934e+01,5.537676743669493151e-17
9.152749817309573643e+01,5.527884350395880759e-17
9.192196601564495495e+01,5.518154363807003307e-17
9.231813394704082043e+01,5.508486247790616860e-17
9.271600929437511240e+01,5.498879462223207296e-17
9.311559941631811910e+01,5.489333462973066245e-17
9.351691170325473479e+01,5.479847702257200728e-17
9.391995357742116823e+01,5.470421628646378788e-17
9.432473249304216267e+01,5.461054687203044559e-17
9.473125593646891218e+01,5.451746319658325099e-17
9.513953142631750381e+01,5.442495964565508205e-17
9.554956651360795661e+01,5.433303057375017484e-17
9.596136878190392849e+01,5.424167030569839428e-17
9.637494584745290638e+01,5.415087313880467058e-17
9.679030535932709256e+01,5.406063334285009012e-17
9.720745499956490221e+01,5.397094516195443912e-17
9.762640248331301507e+01,5.388180281597933459e-17
9.804715555896906665e+01,5.379320050089773780e-17
9.846972200832497890e+01,5.370513239119274474e-17
9.889410964671083093e+01,5.361759263947238782e-17
9.932032632313945442e+01,5.353057537922894187e-17
9.974837992045158330e+01,5.344407472414396848e-17
1.001782783554617566e+02,5.335808477081548215e-17
1.006100295791042925e+02,5.327259959879519930e-17
1.010436415765810096e+02,5.318761327170923842e-17
1.014791223675084524e+02,5.310311983878236577e-17
1.019164800060663651e+02,5.301911333533430599e-17
1.023557225811466225e+02,5.293558778392509412e-17
1.027968582165028124e+02,5.285253719546544672e-17
1.032398950709005447e+02,5.276995556991262340e-17
1.036848413382682708e+02,5.268783689693033979e-17
1.041317052478489131e+02,5.260617515772163659e-17
1.045804950643520073e+02,5.252496432519040495e-17
1.050312190881065391e+02,5.244419836495488174e-17
1.054838856552145501e+02,5.236387123599926708e-17
1.059385031377052115e+02,5.228397689231760574e-17
1.063950799436897086e+02,5.220450928264550049e-17
1.068536245175167636e+02,5.212546235211278796e-17
1.073141453399287855e+02,5.204683004289616703e-17
1.077766509282187428e+02,5.196860629456460279e-17
1.082411498363876490e+02,5.189078504552853178e-17
1.087076506553028281e+02,5.181336023323308981e-17
1.091761620128567500e+02,5.173632579526831044e-17
1.096466925741266465e+02,5.165967566988124972e-17
1.101192510415347101e+02,5.158340379693575881e-17
1.105938461550091318e+02,5.150750411855731607e-17
1.110704866921456642e+02,5.143197058004311994e-17
1.115491814683699801e+02,5.135679712941233954e-17
1.120299393371007710e+02,5.128197772060055767e-17
1.125127691899134277e+02,5.120750631110050966e-17
1.129976799567044878e+02,5.113337686481025336e-17
1.134846806058568376e+02,5.105958335196241203e-17
1.139737801444055521e+02,5.098611974986150040e-17
1.144649876182044892e+02,5.091298004295227213e-17
1.149583121120935658e+02,5.084015822471409526e-17
1.154537627500668435e+02,5.076764829693207558e-17
1.159513486954411832e+02,5.069544427154932053e-17
1.164510791510258088e+02,5.062354016997017162e-17
1.169529633592924824e+02,5.055193002522847494e-17
1.174570106025464185e+02,5.048060788079632103e-17
1.179632302030979645e+02,5.040956779241602029e-17
1.184716315234350645e+02,5.033880382906839279e-17
1.189822239663963472e+02,5.026831007190518669e-17
1.194950169753450950e+02,5.019808061581851097e-17
1.200100200343438388e+02,5.012810957061323053e-17
1.205272426683298193e+02,5.005839106041734824e-17
1.210466944432911305e+02,4.998891922444516613e-17
1.215683849664436025e+02,4.991968821865431245e-17
1.220923238864085505e+02,4.985069221434571692e-17
1.226185208933911923e+02,4.978192540095662822e-17
1.231469857193598614e+02,4.971338198372903697e-17
1.236777281382260014e+02,4.964505618779495221e-17
1.242107579660249712e+02,4.957694225562560112e-17
1.247460850610975172e+02,4.950903444898357014e-17
1.252837193242721696e+02,4.944132704886751071e-17
1.258236706990483498e+02,4.937381435695650666e-17
1.263659491717803718e+02,4.930649069487476953e-17
1.269105647718616297e+02,4.923935040544073819e-17
1.274575275719108731e+02,4.917238785319382839e-17
1.280068476879580146e+02,4.910559742380998544e-17
1.285585352796312861e+02,4.903897352694477587e-17
1.291126005503452063e+02,4.897251059334027706e-17
1.296690537474892437e+02,4.890620307780744600e-17
1.302279051626173612e+02,4.884004545959436326e-17
1.307891651316383559e+02,4.877403224166098633e-17
1.313528440350070525e+02,4.870815795216434665e-17
1.319189522979162348e+02,4.864241714368845499e-17
1.324875003904894584e+02,4.857680439505254938e-17
1.330584988279747449e+02,4.851131431101019394e-17
1.336319581709390434e+02,4.844594152268233890e-17
1.342078890254634871e+02,4.838068068847169048e-17
1.347863020433397025e+02,4.831552649416785745e-17
1.353672079222666298e+02,4.825047365268008134e-17
1.359506174060484511e+02,4.818551690594496095e-17
1.365365412847933726e+02,4.812065102399901695e-17
1.371249903951130591e+02,4.805587080674985101e-17
1.377159756203231211e+02,4.799117108248642508e-17
1.383095078906444826e+02,4.792654671020992973e-17
1.389055981834052886e+02,4.786199257872937973e-17
1.395042575232442630e+02,4.779750360787966459e-17
1.401054969823142926e+02,4.773307474879290440e-17
1.407093276804874051e+02,4.766870098317653118e-17
1.413157607855605420e+02,4.760437732560912059e-17
