# eps,sigma_cm2
# He electron impact ionization cross section (a_11s coefficients)
# eps = E_beam/IE_He (dimensionless)  sigma_cm2: cross section [cm^2]
1.880238565731535250e+00,2.024673790028856574e-17
1.887223867057171489e+00,2.035876786004970605e-17
1.894235119576182846e+00,2.047078799152387157e-17
1.901272419700220206e+00,2.058279535134251147e-17
1.908335864199115939e+00,2.069478689496479175e-17
1.915425550202212834e+00,2.080675947928386844e-17
1.922541575199700148e+00,2.091870986522709330e-17
1.929684037043954747e+00,2.103063472034909209e-17
1.936853033950886038e+00,2.114253062141612214e-17
1.944048664501287105e+00,2.125439405698072643e-17
1.951271027642189404e+00,2.136622142994517408e-17
1.958520222688224344e+00,2.147800906011278436e-17
1.965796349322988634e+00,2.158975318672590802e-17
1.973099507600414082e+00,2.170144997098947168e-17
1.980429797946145376e+00,2.181309549857928132e-17
1.987787321158919651e+00,2.192468578213383352e-17
1.995172178411952713e+00,2.203621676372902453e-17
2.002584471254329923e+00,2.214768431733465701e-17
2.010024301612404418e+00,2.225908425125213724e-17
2.017491771791196431e+00,2.237041231053236776e-17
2.024986984475800611e+00,2.248166417937319732e-17
2.032510042732800226e+00,2.259283548349592907e-17
2.040061050011680699e+00,2.270392179249975914e-17
2.047640110146255576e+00,2.281491862219402541e-17
2.055247327356091613e+00,2.292582143690736669e-17
2.062882806247944512e+00,2.303662565177335478e-17
2.070546651817195993e+00,2.314732663499205079e-17
2.078238969449295315e+00,2.325791971006704524e-17
2.085959864921214102e+00,2.336840015801749484e-17
2.093709444402895414e+00,2.347876321956471556e-17
2.101487814458715686e+00,2.358900409729300206e-17
2.109295082048951553e+00,2.369911795778425443e-17
2.117131354531248011e+00,2.380909993372611045e-17
2.124996739662097234e+00,2.391894512599325331e-17
2.132891345598317390e+00,2.402864860570159620e-17
2.140815280898543449e+00,2.413820541623522960e-17
2.148768654524717103e+00,2.424761057524557968e-17
2.156751575843585567e+00,2.435685907662293811e-17
2.164764154628207482e+00,2.446594589243995344e-17
2.172806501059460160e+00,2.457486597486697605e-17
2.180878725727555700e+00,2.468361425805903202e-17
2.188980939633560219e+00,2.479218566001447488e-17
2.197113254190924181e+00,2.490057508440511829e-17
2.205275781227009180e+00,2.500877742237760915e-17
2.213468632984629370e+00,2.511678755432630930e-17
2.221691922123593343e+00,2.522460035163729747e-17
2.229945761722254893e+00,2.533221067840369189e-17
2.238230265279065989e+00,2.543961339311210852e-17
2.246545546714137753e+00,2.554680335030041222e-17
2.254891720370808539e+00,2.565377540218664057e-17
2.263268901017214674e+00,2.576052440026915885e-17
2.271677203847869642e+00,2.586704519689819737e-17
2.280116744485247704e+00,2.597333264681860147e-17
2.288587638981373296e+00,2.607938160868404689e-17
2.297090003819418413e+00,2.618518694654283162e-17
2.305623955915301782e+00,2.629074353129506525e-17
2.314189612619300007e+00,2.639604624212168749e-17
2.322787091717658292e+00,2.650108996788519847e-17
2.331416511434210914e+00,2.660586960850231685e-17
2.340077990432007926e+00,2.671038007628868256e-17
2.348771647814946295e+00,2.681461629727577690e-17
2.357497603129407260e+00,2.691857321250005373e-17
2.366255976365899905e+00,2.702224577926474719e-17
2.375046887960712727e+00,2.712562897237413697e-17
2.383870458797568759e+00,2.722871778534084760e-17
2.392726810209287347e+00,2.733150723156596583e-17
2.401616063979453042e+00,2.743399234549250630e-17
2.410538342344092033e+00,2.753616818373220996e-17
2.419493767993348587e+00,2.763802982616589100e-17
2.428482464073176583e+00,2.773957237701771756e-17
2.437504554187031491e+00,2.784079096590342905e-17
2.446560162397569016e+00,2.794168074885272462e-17
2.455649413228351285e+00,2.804223690930626620e-17
2.464772431665561481e+00,2.814245465908725316e-17
2.473929343159719352e+00,2.824232923934791365e-17
2.483120273627407393e+00,2.834185592149126394e-17
2.492345349453003678e+00,2.844103000806811099e-17
2.501604697490418694e+00,2.853984683364984703e-17
2.510898445064838391e+00,2.863830176567695563e-17
2.520226719974477891e+00,2.873639020528385832e-17
2.529589650492336084e+00,2.883410758809999662e-17
2.538987365367962212e+00,2.893144938502764888e-17
2.548419993829222463e+00,2.902841110299658674e-17
2.557887665584081649e+00,2.912498828569597158e-17
2.567390510822383565e+00,2.922117651428366992e-17
2.576928660217641998e+00,2.931697140807315407e-17
2.586502244928838401e+00,2.941236862519857347e-17
2.596111396602223564e+00,2.950736386325784891e-17
2.605756247373130829e+00,2.960195285993441821e-17
2.615436929867790194e+00,2.969613139359763326e-17
2.625153577205153965e+00,2.978989528388232015e-17
2.634906322998725958e+00,2.988324039224758235e-17
2.644695301358400474e+00,2.997616262251513664e-17
2.654520646892303493e+00,3.006865792138770564e-17
2.664382494708648075e+00,3.016072227894729443e-17
2.674280980417587994e+00,3.025235172913406610e-17
2.684216240133084241e+00,3.034354235020579157e-17
2.694188410474777751e+00,3.043429026517837296e-17
2.704197628569866119e+00,3.052459164224747125e-17
2.714244032054991429e+00,3.061444269519168817e-17
2.724327759078130295e+00,3.070383968375761042e-17
2.734448948300494564e+00,3.079277891402671012e-17
2.744607738898440896e+00,3.088125673876482867e-17
2.754804270565378577e+00,3.096926955775397906e-17
2.765038683513695972e+00,3.105681381810730474e-17
2.775311118476686545e+00,3.114388601456691776e-17
2.785621716710483753e+00,3.123048268978526940e-17
2.795970619996003048e+00,3.131660043459020749e-17
2.806357970640893207e+00,3.140223588823394208e-17
2.816783911481491653e+00,3.148738573862618472e-17
2.827248585884788667e+00,3.157204672255183086e-17
2.837752137750400472e+00,3.165621562587330889e-17
2.848294711512546318e+00,3.173988928371799005e-17
2.858876452142034008e+00,3.182306458065078871e-17
2.869497505148256522e+00,3.190573845083226125e-17
2.880158016581189528e+00,3.198790787816263472e-17
2.890858133033401334e+00,3.206956989641160536e-17
2.901598001642068159e+00,3.215072158933467086e-17
2.912377770090997853e+00,3.223136009077577477e-17
2.923197586612661603e+00,3.231148258475692847e-17
2.934057599990228749e+00,3.239108630555467523e-17
