# T_eV,rate_cm3_s
# He electron-impact ionization rate averaged over a 3D Maxwellian
# Generated with He_EII_cross, a_11s, and E_ion
1.545927736419477672e+00,3.402550726473101408e-16
1.556654359271061328e+00,3.813732433056912827e-16
1.567455410205595090e+00,4.271371141095120194e-16
1.578331405652117381e+00,4.780332740074566895e-16
1.589282865622978047e+00,5.345950227621850792e-16
1.600310313738700918e+00,5.974064150031031157e-16
1.611414277253019112e+00,6.671066123574759339e-16
1.622595287078087090e+00,7.443945634529386680e-16
1.633853877809861244e+00,8.300340325643558284e-16
1.645190587753662559e+00,9.248589986856352486e-16
1.656605958949914470e+00,1.029779447841382557e-15
1.668100537200059241e+00,1.145787582513848521e-15
1.679674872092653093e+00,1.273964473146296070e-15
1.691329517029647844e+00,1.415487177793874320e-15
1.703065029252844420e+00,1.571636357125696840e-15
1.714881969870539979e+00,1.743804413136810973e-15
1.726780903884356011e+00,1.933504181103212508e-15
1.738762400216250503e+00,2.142378205506771980e-15
1.750827031735724182e+00,2.372208631867614581e-15
1.762975375287205715e+00,2.624927747646753617e-15
1.775208011717635204e+00,2.902629206621166490e-15
1.787525525904235524e+00,3.207579972382785085e-15
1.799928506782476401e+00,3.542233017871638114e-15
1.812417547374236770e+00,3.909240819118198901e-15
1.824993244816152327e+00,4.311469682637923143e-15
1.837656200388171568e+00,4.752014947191395226e-15
1.850407019542302134e+00,5.234217101889862052e-15
1.863246311931559873e+00,5.761678863889464874e-15
1.876174691439120412e+00,6.338283260171770048e-15
1.889192776207666347e+00,6.968212759151190377e-15
1.902301188668944709e+00,7.655969499079491355e-15
1.915500555573527830e+00,8.406396661427245900e-15
1.928791508020777812e+00,9.224701038611002119e-15
1.942174681489025501e+00,1.011647684659883926e-14
1.955650715865949074e+00,1.108773083405924142e-14
1.969220255479172454e+00,1.214490874082100442e-14
1.982883949127071332e+00,1.329492315947311479e-14
1.996642450109793465e+00,1.454518285495663365e-14
2.010496416260497909e+00,1.590362359797704313e-14
2.024446509976803643e+00,1.737874056899079008e-14
